# p 	 D_TG 	 D_N 	 
4.6 	 6.533835714539048e-11 	 4.631703111998994e-11
4.68494983277592 	 6.477007091452188e-11 	 4.5915830055226557e-11
4.769899665551839 	 6.421363485920869e-11 	 4.5536687587258245e-11
4.854849498327759 	 6.366863860805653e-11 	 4.5177352032055765e-11
4.9397993311036785 	 6.313469291507308e-11 	 4.483583840764146e-11
5.024749163879599 	 6.261142812205407e-11 	 4.45103938560906e-11
5.109698996655518 	 6.20984927710064e-11 	 4.419946792647968e-11
5.194648829431438 	 6.159555234825033e-11 	 4.3901686982555255e-11
5.279598662207357 	 6.110228814448912e-11 	 4.361583211818722e-11
5.364548494983278 	 6.061839621735173e-11 	 4.334082006243904e-11
5.449498327759197 	 6.014358644477823e-11 	 4.3075686638052524e-11
5.534448160535117 	 5.967758165918862e-11 	 4.281957240532259e-11
5.619397993311036 	 5.922011685370698e-11 	 4.257171018017444e-11
5.7043478260869565 	 5.87709384528419e-11 	 4.233141416274888e-11
5.789297658862876 	 5.832980364098731e-11 	 4.209807045257201e-11
5.874247491638796 	 5.7896479742930275e-11 	 4.1871128759764835e-11
5.959197324414715 	 5.7470743651257616e-11 	 4.165009514982427e-11
6.044147157190635 	 5.705238129616042e-11 	 4.143452568317016e-11
6.129096989966555 	 5.664118715365841e-11 	 4.1224020830641854e-11
6.214046822742475 	 5.6236963788719314e-11 	 4.101822056304478e-11
6.298996655518394 	 5.583952143014135e-11 	 4.0816800027195096e-11
6.383946488294314 	 5.544867757440853e-11 	 4.061946573310238e-11
6.4688963210702335 	 5.506425661602758e-11 	 4.042595218731034e-11
6.553846153846154 	 5.4686089502115297e-11 	 4.0236018916269054e-11
6.638795986622073 	 5.431401340923549e-11 	 4.004944783117985e-11
6.723745819397993 	 5.394787144068456e-11 	 3.9866040892230234e-11
6.808695652173913 	 5.3587512342603835e-11 	 3.9685618035693055e-11
6.8936454849498325 	 5.32327902374527e-11 	 3.9508015332135775e-11
6.978595317725752 	 5.2883564373515995e-11 	 3.9333083348093917e-11
7.063545150501672 	 5.253969888924283e-11 	 3.916068568710173e-11
7.148494983277592 	 5.220106259132357e-11 	 3.899069768903107e-11
7.233444816053511 	 5.1867528745509845e-11 	 3.8823005269331375e-11
7.318394648829431 	 5.15389748792704e-11 	 3.865750388205326e-11
7.403344481605351 	 5.121528259545356e-11 	 3.849409759252346e-11
7.488294314381271 	 5.089633739619809e-11 	 3.833269824726346e-11
7.57324414715719 	 5.05820285163972e-11 	 3.817322473024419e-11
7.65819397993311 	 5.0272248766077766e-11 	 3.801560229587594e-11
7.74314381270903 	 4.9966894381108326e-11 	 3.785976197027317e-11
7.82809364548495 	 4.966586488169596e-11 	 3.770564001332839e-11
7.913043478260869 	 4.9369062938174526e-11 	 3.755317743500134e-11
7.9979933110367885 	 4.907639424362477e-11 	 3.7402319559991616e-11
8.08294314381271 	 4.878776739290216e-11 	 3.7253015635631784e-11
8.167892976588629 	 4.850309376767922e-11 	 3.710521847842522e-11
8.252842809364548 	 4.822228742713889e-11 	 3.695888415516862e-11
8.337792642140467 	 4.7945265003981356e-11 	 3.681397169505371e-11
8.422742474916387 	 4.7671945605430596e-11 	 3.667044282954211e-11
8.507692307692308 	 4.740225071895013e-11 	 3.6528261757160885e-11
8.592642140468227 	 4.7136104122396156e-11 	 3.638739493067737e-11
8.677591973244148 	 4.6873431798356424e-11 	 3.6247810864387274e-11
8.762541806020067 	 4.661416185243885e-11 	 3.610947995949426e-11
8.847491638795987 	 4.635822443529094e-11 	 3.5972374345774376e-11
8.932441471571906 	 4.610555166814453e-11 	 3.583646773791066e-11
9.017391304347825 	 4.5856077571694314e-11 	 3.570173530505277e-11
9.102341137123744 	 4.560973799813072e-11 	 3.556815355230755e-11
9.187290969899665 	 4.536647056615949e-11 	 3.543570021300076e-11
9.272240802675585 	 4.5126214598850286e-11 	 3.530435415066921e-11
9.357190635451506 	 4.488891106416683e-11 	 3.517409526984937e-11
9.442140468227425 	 4.465450251804042e-11 	 3.504490443482351e-11
9.527090301003344 	 4.4422933049856366e-11 	 3.4916763395568477e-11
9.612040133779264 	 4.419414823023126e-11 	 3.478965472022829e-11
9.696989966555183 	 4.3968095060966407e-11 	 3.4663561733499636e-11
9.781939799331102 	 4.374472192706879e-11 	 3.4538468460379085e-11
9.866889632107023 	 4.352397855073818e-11 	 3.441435957477561e-11
9.951839464882942 	 4.330581594722413e-11 	 3.429122035254022e-11
